Region,Activity,Percentage response
Roanoke Valley-Alleghany,Visiting historic areas,29.00%
Roanoke Valley-Alleghany,Geocaching ,2.00%
Roanoke Valley-Alleghany,Viewing scenery,28.00%
Roanoke Valley-Alleghany,Dog parks,9.00%
Roanoke Valley-Alleghany,Zip line,3.00%
Roanoke Valley-Alleghany,RV camping,9.00%
Roanoke Valley-Alleghany,Tent camping,16.00%
Roanoke Valley-Alleghany,Staying in cabins,12.00%
Roanoke Valley-Alleghany,Paddle-in camping,0.00%
Roanoke Valley-Alleghany,Visiting private farms and forests,10.00%
Roanoke Valley-Alleghany,Gardening,31.00%
Roanoke Valley-Alleghany,Visiting playgrounds,20.00%
Roanoke Valley-Alleghany,Bicycle touring on roads,8.00%
Roanoke Valley-Alleghany,Segway on sidewalks and paths,1.00%
Roanoke Valley-Alleghany,Electric-assist bicycle on road or trail,0.00%
Roanoke Valley-Alleghany,Orienteering,0.00%
Roanoke Valley-Alleghany,Stargazing/Dark skies/Astronomy,12.00%
Roanoke Valley-Alleghany,Other activities,4.00%
Roanoke Valley-Alleghany,Walking for pleasure,67.00%
Roanoke Valley-Alleghany,Jogging/running,20.00%
Roanoke Valley-Alleghany,Hiking/backpacking day trips,26.00%
Roanoke Valley-Alleghany,Fitness trail (not jogging),11.00%
Roanoke Valley-Alleghany,Horseback riding,3.00%
Roanoke Valley-Alleghany,Mountain biking,9.00%
Roanoke Valley-Alleghany,Paved or gravel bicycle trails,15.00%
Roanoke Valley-Alleghany,"Driving 4-wheel off road (Jeep, truck)",7.00%
Roanoke Valley-Alleghany,Driving motorcycle off road/dirt bike,3.00%
Roanoke Valley-Alleghany,ATV or UTV off road,8.00%
Roanoke Valley-Alleghany,Other activities on trails,1.00%
Roanoke Valley-Alleghany,Softball,5.00%
Roanoke Valley-Alleghany,Baseball,3.00%
Roanoke Valley-Alleghany,T-ball,0.00%
Roanoke Valley-Alleghany,Soccer,10.00%
Roanoke Valley-Alleghany,Rugby,0.00%
Roanoke Valley-Alleghany,Football,5.00%
Roanoke Valley-Alleghany,Volleyball,4.00%
Roanoke Valley-Alleghany,Lacrosse,2.00%
Roanoke Valley-Alleghany,Field hockey,0.00%
Roanoke Valley-Alleghany,Kickball,1.00%
Roanoke Valley-Alleghany,Cheerleading,1.00%
Roanoke Valley-Alleghany,Track and field,1.00%
Roanoke Valley-Alleghany,Other activities on sports fields ,2.00%
Southside,Driving for pleasure,61.00%
Southside,Visiting natural areas,56.00%
Southside,Equestrian,10.00%
Southside,Downhill skiing ,3.00%
Southside,Snowboarding,2.00%
Southside,"Cross-country skiing, snowshoeing",1.00%
Southside,Snow sledding/tubing,10.00%
Southside,Ice skating (outdoor),2.00%
Southside,Other snow/ice-dependent activities,1.00%
Southside,Freshwater fishing,58.00%
Southside,Saltwater fishing,16.00%
Southside,Sunbathing/relaxing on a beach,32.00%
Southside,Jet ski/personal watercraft,7.00%
Southside,Powerboating,14.00%
Southside,Sailing,2.00%
Southside,Sail boarding,1.00%
Southside,Canoeing/kayaking,19.00%
Southside,Water skiing or towed on water,7.00%
Southside,Whitewater rafting (guided or solo),4.00%
Southside,Tubing on water,8.00%
Southside,Swimming/outdoor pool,32.00%
Southside,Swimming/beach/lake river (open water),26.00%
Southside,Crew rowing,1.00%
Southside,Surfing,2.00%
Southside,Paddleboarding,3.00%
Southside,Kiteboarding,1.00%
Southside,Splash pads,1.00%
Southside,Viewing the water,21.00%
Southside,Other water-dependent activities,1.00%
Southside,Tennis,8.00%
Southside,Basketball,13.00%
Southside,Pickle ball,1.00%
Southside,Shuffleboard,2.00%
Southside,18-hole golf,6.00%
Southside,Par-3 golf,2.00%
Southside,Driving range,3.00%
Southside,Disc golf,4.00%
Southside,Racquetball,0.00%
Southside,Squash,0.00%
Southside,Miniature golf,9.00%
Southside,Archery,4.00%
Southside,Shooting range,9.00%
Southside,Other activities on courts & golf,2.00%
Southside,"Visiting working farms, petting zoos, corn mazes, etc. ",21.00%
Southside,Music festivals,28.00%
Southside,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",5.00%
Southside,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",20.00%
Southside,Culinary tours/trails (brewery/winery/food),11.00%
Southside,Nature-based tours/trails,15.00%
Southside,"Art-based tours/trails (artisan, music)",2.00%
Southside,Sporting events or tournaments,10.00%
Southside,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",11.00%
Southside,Other destination activities,1.00%
Southside,Hunting,31.00%
Southside,Picnicking away from home,28.00%
Southside,Nature study/Nature programs,6.00%
Southside,Visiting gardens/arboretums,20.00%
Southside,Bird-watching away from home,3.00%
Southside,"Visiting parks (local, state & national)",43.00%
Southside,Visiting historic areas,24.00%
Southside,Geocaching ,1.00%
Southside,Viewing scenery,12.00%
Southside,Dog parks,4.00%
Southside,Zip line,3.00%
Southside,RV camping,7.00%
Southside,Tent camping,7.00%
Southside,Staying in cabins,4.00%
Southside,Paddle-in camping,1.00%
Southside,Visiting private farms and forests,7.00%
Southside,Gardening,31.00%
Southside,Visiting playgrounds,21.00%
Southside,Bicycle touring on roads,13.00%
Southside,Segway on sidewalks and paths,7.00%
Southside,Electric-assist bicycle on road or trail,1.00%
Southside,Orienteering,0.00%
Southside,Stargazing/Dark skies/Astronomy,7.00%
Southside,Other activities,0.00%
Southside,Walking for pleasure,54.00%
Southside,Jogging/running,10.00%
Southside,Hiking/backpacking day trips,6.00%
Southside,Fitness trail (not jogging),11.00%
Southside,Horseback riding,5.00%
Southside,Mountain biking,2.00%
Southside,Paved or gravel bicycle trails,9.00%
Southside,"Driving 4-wheel off road (Jeep, truck)",6.00%
Southside,Driving motorcycle off road/dirt bike,2.00%
Southside,ATV or UTV off road,5.00%
Southside,Other activities on trails,0.00%
Southside,Softball,6.00%
Southside,Baseball,7.00%
Southside,T-ball,3.00%
Southside,Soccer,3.00%
Southside,Rugby,0.00%
Southside,Football,5.00%
Southside,Volleyball,3.00%
Southside,Lacrosse,0.00%
Southside,Field hockey,0.00%
Southside,Kickball,2.00%
Southside,Cheerleading,1.00%
Southside,Track and field,2.00%
Southside,Other activities on sports fields ,1.00%
Statewide,Driving for pleasure,67.00%
Statewide,Visiting natural areas,71.00%
Statewide,Equestrian,7.00%
Statewide,Downhill skiing ,9.00%
Statewide,Snowboarding,6.00%
Statewide,"Cross-country skiing, snowshoeing",2.00%
Statewide,Snow sledding/tubing,15.00%
Statewide,Ice skating (outdoor),7.00%
Statewide,Other snow/ice-dependent activities,3.00%
Statewide,Freshwater fishing,34.00%
Statewide,Saltwater fishing,15.00%
Statewide,Sunbathing/relaxing on a beach,47.00%
Statewide,Jet ski/personal watercraft,8.00%
Statewide,Powerboating,14.00%
Statewide,Sailing,3.00%
Statewide,Sail boarding,1.00%
Statewide,Canoeing/kayaking,25.00%
Statewide,Water skiing or towed on water,6.00%
Statewide,Whitewater rafting (guided or solo),3.00%
Statewide,Tubing on water,12.00%
Statewide,Swimming/outdoor pool,48.00%
Statewide,Swimming/beach/lake river (open water),37.00%
Statewide,Crew rowing,1.00%
Statewide,Surfing,2.00%
Statewide,Paddleboarding,6.00%
Statewide,Kiteboarding,0.00%
Statewide,Splash pads,4.00%
Statewide,Viewing the water,38.00%
Statewide,Other water-dependent activities,2.00%
Statewide,Tennis,10.00%
Statewide,Basketball,15.00%
Statewide,Pickle ball,1.00%
Statewide,Shuffleboard,1.00%
Statewide,18-hole golf,14.00%
Statewide,Par-3 golf,4.00%
Statewide,Driving range,10.00%
Statewide,Disc golf,5.00%
Statewide,Racquetball,1.00%
Statewide,Squash,0.00%
Statewide,Miniature golf,14.00%
Statewide,Archery,5.00%
Statewide,Shooting range,14.00%
Statewide,Other activities on courts & golf,2.00%
Statewide,"Visiting working farms, petting zoos, corn mazes, etc. ",31.00%
Statewide,Music festivals,28.00%
Statewide,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",5.00%
Statewide,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",34.00%
Statewide,Culinary tours/trails (brewery/winery/food),19.00%
Statewide,Nature-based tours/trails,26.00%
Statewide,"Art-based tours/trails (artisan, music)",7.00%
Statewide,Sporting events or tournaments,23.00%
Statewide,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",19.00%
Statewide,Other destination activities,2.00%
Statewide,Hunting,16.00%
Statewide,Picnicking away from home,27.00%
Statewide,Nature study/Nature programs,6.00%
Statewide,Visiting gardens/arboretums,25.00%
Statewide,Bird-watching away from home,6.00%
Statewide,"Visiting parks (local, state & national)",56.00%
Statewide,Visiting historic areas,35.00%
Statewide,Geocaching ,3.00%
Statewide,Viewing scenery,27.00%
Statewide,Dog parks,10.00%
Statewide,Zip line,5.00%
Statewide,RV camping,6.00%
Statewide,Tent camping,14.00%
Statewide,Staying in cabins,11.00%
Statewide,Paddle-in camping,1.00%
Statewide,Visiting private farms and forests,10.00%
Statewide,Gardening,27.00%
Statewide,Visiting playgrounds,23.00%
Statewide,Bicycle touring on roads,9.00%
Statewide,Segway on sidewalks and paths,1.00%
Statewide,Electric-assist bicycle on road or trail,0.00%
Statewide,Orienteering,1.00%
Statewide,Stargazing/Dark skies/Astronomy,11.00%
Statewide,Other activities,2.00%
Statewide,Walking for pleasure,67.00%
Statewide,Jogging/running,24.00%
Statewide,Hiking/backpacking day trips,21.00%
Statewide,Fitness trail (not jogging),9.00%
Statewide,Horseback riding,4.00%
Statewide,Mountain biking,6.00%
Statewide,Paved or gravel bicycle trails,11.00%
Statewide,"Driving 4-wheel off road (Jeep, truck)",6.00%
Statewide,Driving motorcycle off road/dirt bike,2.00%
Statewide,ATV or UTV off road,6.00%
Statewide,Other activities on trails,1.00%
Statewide,Softball,5.00%
Statewide,Baseball,7.00%
Statewide,T-ball,2.00%
Statewide,Soccer,11.00%
Statewide,Rugby,0.00%
Statewide,Football,7.00%
Statewide,Volleyball,4.00%
Statewide,Lacrosse,2.00%
Statewide,Field hockey,1.00%
Statewide,Kickball,3.00%
Statewide,Cheerleading,1.00%
Statewide,Track and field,3.00%
Statewide,Other activities on sports fields ,3.00%
Thomas Jefferson,Driving for pleasure,73.00%
Thomas Jefferson,Visiting natural areas,83.00%
Thomas Jefferson,Equestrian,9.00%
Thomas Jefferson,Downhill skiing ,16.00%
Thomas Jefferson,Snowboarding,7.00%
Thomas Jefferson,"Cross-country skiing, snowshoeing",4.00%
Thomas Jefferson,Snow sledding/tubing,20.00%
Thomas Jefferson,Ice skating (outdoor),6.00%
Thomas Jefferson,Other snow/ice-dependent activities,3.00%
Thomas Jefferson,Freshwater fishing,32.00%
Thomas Jefferson,Saltwater fishing,13.00%
Thomas Jefferson,Sunbathing/relaxing on a beach,56.00%
Thomas Jefferson,Jet ski/personal watercraft,13.00%
Thomas Jefferson,Powerboating,16.00%
Thomas Jefferson,Sailing,5.00%
Thomas Jefferson,Sail boarding,0.00%
Thomas Jefferson,Canoeing/kayaking,35.00%
Thomas Jefferson,Water skiing or towed on water,9.00%
Thomas Jefferson,Whitewater rafting (guided or solo),2.00%
Thomas Jefferson,Tubing on water,17.00%
Thomas Jefferson,Swimming/outdoor pool,49.00%
Thomas Jefferson,Swimming/beach/lake river (open water),44.00%
Thomas Jefferson,Crew rowing,3.00%
Thomas Jefferson,Surfing,2.00%
Thomas Jefferson,Paddleboarding,8.00%
Thomas Jefferson,Kiteboarding,0.00%
Thomas Jefferson,Splash pads,2.00%
Thomas Jefferson,Viewing the water,40.00%
Thomas Jefferson,Other water-dependent activities,3.00%
Thomas Jefferson,Tennis,12.00%
Thomas Jefferson,Basketball,12.00%
Thomas Jefferson,Pickle ball,1.00%
Thomas Jefferson,Shuffleboard,2.00%
Thomas Jefferson,18-hole golf,17.00%
Thomas Jefferson,Par-3 golf,2.00%
Thomas Jefferson,Driving range,11.00%
Thomas Jefferson,Disc golf,4.00%
Thomas Jefferson,Racquetball,2.00%
Thomas Jefferson,Squash,0.00%
Thomas Jefferson,Miniature golf,13.00%
Thomas Jefferson,Archery,6.00%
Thomas Jefferson,Shooting range,11.00%
Thomas Jefferson,Other activities on courts & golf,2.00%
Thomas Jefferson,"Visiting working farms, petting zoos, corn mazes, etc. ",32.00%
Thomas Jefferson,Music festivals,26.00%
Thomas Jefferson,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",6.00%
Thomas Jefferson,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",34.00%
Thomas Jefferson,Culinary tours/trails (brewery/winery/food),36.00%
Thomas Jefferson,Nature-based tours/trails,35.00%
Thomas Jefferson,"Art-based tours/trails (artisan, music)",9.00%
Thomas Jefferson,Sporting events or tournaments,21.00%
Thomas Jefferson,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",24.00%
Thomas Jefferson,Other destination activities,1.00%
Thomas Jefferson,Hunting,20.00%
Thomas Jefferson,Picnicking away from home,35.00%
Thomas Jefferson,Nature study/Nature programs,6.00%
Thomas Jefferson,Visiting gardens/arboretums,30.00%
Thomas Jefferson,Bird-watching away from home,5.00%
Thomas Jefferson,"Visiting parks (local, state & national)",61.00%
Thomas Jefferson,Visiting historic areas,38.00%
Thomas Jefferson,Geocaching ,2.00%
Thomas Jefferson,Viewing scenery,35.00%
Thomas Jefferson,Dog parks,13.00%
Thomas Jefferson,Zip line,4.00%
Thomas Jefferson,RV camping,4.00%
Thomas Jefferson,Tent camping,14.00%
Thomas Jefferson,Staying in cabins,16.00%
Thomas Jefferson,Paddle-in camping,2.00%
Thomas Jefferson,Visiting private farms and forests,15.00%
Thomas Jefferson,Gardening,29.00%
Thomas Jefferson,Visiting playgrounds,25.00%
Thomas Jefferson,Bicycle touring on roads,7.00%
Thomas Jefferson,Segway on sidewalks and paths,0.00%
Thomas Jefferson,Electric-assist bicycle on road or trail,0.00%
Thomas Jefferson,Orienteering,1.00%
Thomas Jefferson,Stargazing/Dark skies/Astronomy,17.00%
Thomas Jefferson,Other activities,2.00%
Thomas Jefferson,Walking for pleasure,67.00%
Thomas Jefferson,Jogging/running,15.00%
Thomas Jefferson,Hiking/backpacking day trips,27.00%
Thomas Jefferson,Fitness trail (not jogging),9.00%
Thomas Jefferson,Horseback riding,5.00%
Thomas Jefferson,Mountain biking,5.00%
Thomas Jefferson,Paved or gravel bicycle trails,7.00%
Thomas Jefferson,"Driving 4-wheel off road (Jeep, truck)",8.00%
Thomas Jefferson,Driving motorcycle off road/dirt bike,2.00%
Thomas Jefferson,ATV or UTV off road,10.00%
Thomas Jefferson,Other activities on trails,0.00%
Thomas Jefferson,Softball,1.00%
Thomas Jefferson,Baseball,6.00%
Thomas Jefferson,T-ball,0.00%
Thomas Jefferson,Soccer,10.00%
Thomas Jefferson,Rugby,0.00%
Thomas Jefferson,Football,4.00%
Thomas Jefferson,Volleyball,4.00%
Thomas Jefferson,Lacrosse,1.00%
Thomas Jefferson,Field hockey,1.00%
Thomas Jefferson,Kickball,0.00%
Thomas Jefferson,Cheerleading,1.00%
Thomas Jefferson,Track and field,3.00%
Thomas Jefferson,Other activities on sports fields ,1.00%
West Piedmont,Driving for pleasure,70.00%
West Piedmont,Visiting natural areas,60.00%
West Piedmont,Equestrian,7.00%
West Piedmont,Downhill skiing ,2.00%
West Piedmont,Snowboarding,1.00%
West Piedmont,"Cross-country skiing, snowshoeing",3.00%
West Piedmont,Snow sledding/tubing,14.00%
West Piedmont,Ice skating (outdoor),6.00%
West Piedmont,Other snow/ice-dependent activities,4.00%
West Piedmont,Freshwater fishing,38.00%
West Piedmont,Saltwater fishing,6.00%
West Piedmont,Sunbathing/relaxing on a beach,33.00%
West Piedmont,Jet ski/personal watercraft,8.00%
West Piedmont,Powerboating,18.00%
West Piedmont,Sailing,4.00%
West Piedmont,Sail boarding,0.00%
West Piedmont,Canoeing/kayaking,28.00%
West Piedmont,Water skiing or towed on water,6.00%
West Piedmont,Whitewater rafting (guided or solo),4.00%
West Piedmont,Tubing on water,10.00%
West Piedmont,Swimming/outdoor pool,39.00%
West Piedmont,Swimming/beach/lake river (open water),35.00%
West Piedmont,Crew rowing,0.00%
West Piedmont,Surfing,0.00%
West Piedmont,Paddleboarding,4.00%
West Piedmont,Kiteboarding,0.00%
West Piedmont,Splash pads,0.00%
West Piedmont,Viewing the water,31.00%
West Piedmont,Other water-dependent activities,1.00%
West Piedmont,Tennis,8.00%
West Piedmont,Basketball,10.00%
West Piedmont,Pickle ball,2.00%
West Piedmont,Shuffleboard,1.00%
West Piedmont,18-hole golf,9.00%
West Piedmont,Par-3 golf,1.00%
West Piedmont,Driving range,5.00%
West Piedmont,Disc golf,4.00%
West Piedmont,Racquetball,1.00%
West Piedmont,Squash,0.00%
West Piedmont,Miniature golf,7.00%
West Piedmont,Archery,4.00%
West Piedmont,Shooting range,13.00%
West Piedmont,Other activities on courts & golf,1.00%
West Piedmont,"Visiting working farms, petting zoos, corn mazes, etc. ",17.00%
West Piedmont,Music festivals,24.00%
West Piedmont,"Equestrian events (races, dressage, shows, exhibitions, auctions, etc.)",6.00%
West Piedmont,"Outdoor festivals (music festivals, outdoor-themed festivals, extreme sports festivals, etc.)",31.00%
West Piedmont,Culinary tours/trails (brewery/winery/food),12.00%
West Piedmont,Nature-based tours/trails,19.00%
West Piedmont,"Art-based tours/trails (artisan, music)",5.00%
West Piedmont,Sporting events or tournaments,16.00%
West Piedmont,"Walks/runs/challenge-based events (charity walks, 5K, 10K, marathon, triathlon, extreme sports)",17.00%
West Piedmont,Other destination activities,2.00%
West Piedmont,Hunting,24.00%
West Piedmont,Picnicking away from home,24.00%
West Piedmont,Nature study/Nature programs,3.00%
West Piedmont,Visiting gardens/arboretums,11.00%
West Piedmont,Bird-watching away from home,5.00%
West Piedmont,"Visiting parks (local, state & national)",41.00%
West Piedmont,Visiting historic areas,25.00%
West Piedmont,Geocaching ,0.00%
West Piedmont,Viewing scenery,22.00%
West Piedmont,Dog parks,3.00%
West Piedmont,Zip line,3.00%
West Piedmont,RV camping,6.00%
West Piedmont,Tent camping,8.00%
West Piedmont,Staying in cabins,6.00%
West Piedmont,Paddle-in camping,0.00%
West Piedmont,Visiting private farms and forests,7.00%
West Piedmont,Gardening,23.00%
West Piedmont,Visiting playgrounds,14.00%
West Piedmont,Bicycle touring on roads,2.00%
West Piedmont,Segway on sidewalks and paths,0.00%
West Piedmont,Electric-assist bicycle on road or trail,0.00%
West Piedmont,Orienteering,0.00%
West Piedmont,Stargazing/Dark skies/Astronomy,11.00%
West Piedmont,Other activities,2.00%
West Piedmont,Walking for pleasure,58.00%
West Piedmont,Jogging/running,9.00%
West Piedmont,Hiking/backpacking day trips,9.00%
West Piedmont,Fitness trail (not jogging),3.00%
West Piedmont,Horseback riding,3.00%
West Piedmont,Mountain biking,2.00%
West Piedmont,Paved or gravel bicycle trails,4.00%
West Piedmont,"Driving 4-wheel off road (Jeep, truck)",4.00%
West Piedmont,Driving motorcycle off road/dirt bike,6.00%
West Piedmont,ATV or UTV off road,13.00%
West Piedmont,Other activities on trails,0.00%
West Piedmont,Softball,4.00%
West Piedmont,Baseball,4.00%
West Piedmont,T-ball,1.00%
West Piedmont,Soccer,3.00%
West Piedmont,Rugby,0.00%
West Piedmont,Football,7.00%
West Piedmont,Volleyball,4.00%
West Piedmont,Lacrosse,1.00%
West Piedmont,Field hockey,1.00%
West Piedmont,Kickball,1.00%
West Piedmont,Cheerleading,2.00%
West Piedmont,Track and field,3.00%
West Piedmont,Other activities on sports fields ,1.00%
